00:00:00.000152 main     VirtualBox XPCOM Server 7.2.0 r170228 linux.amd64 (Aug 14 2025 19:02:36) release log
00:00:00.000153 main     Log opened 2025-09-01T17:37:08.202844000Z
00:00:00.000154 main     Build Type: release
00:00:00.000154 main     OS Product: Linux
00:00:00.000155 main     OS Release: 6.16.4-arch1-1
00:00:00.000155 main     OS Version: #1 SMP PREEMPT_DYNAMIC Thu, 28 Aug 2025 19:49:53 +0000
00:00:00.000167 main     DMI Product Name: System Product Name
00:00:00.000173 main     DMI Product Version: System Version
00:00:00.000175 main     Firmware type: UEFI
00:00:00.000220 main     Secure Boot: Disabled
00:00:00.000237 main     Host RAM: 31219MB (30.4GB) total, 29642MB (28.9GB) available
00:00:00.000238 main     Executable: /usr/lib/virtualbox/VBoxSVC
00:00:00.000238 main     Process ID: 3400
00:00:00.000238 main     Package type: LINUX_64BITS_GENERIC (OSE)
00:00:00.002796 main     IPC socket path: /tmp/.vbox-isaiah-ipc/ipcd
00:00:00.006487 DCon01   VirtualBox: object creation starts
00:00:00.006516 DCon01   Home directory: '/home/isaiah/.config/VirtualBox'
00:00:00.006756 DCon01   Loading settings file "/home/isaiah/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:00.008926 DCon01   Successfully initialised host USB using sysfs
00:00:00.010918 DCon01   Failed to retrive disk info: getDiskName(/dev/mapper/root) --> root
00:00:00.017229 DCon01   HostDnsMonitor: initializing
00:00:00.017331 DCon01   NAT: resolv.conf: nameserver 127.0.0.53
00:00:00.017335 DCon01   NAT: resolv.conf: ignoring "options edns0 trust-ad"
00:00:00.017343 DCon01   HostDnsMonitor: updating information
00:00:00.017348 DCon01   HostDnsMonitor: old information
00:00:00.017350 DCon01     no server entries
00:00:00.017353 DCon01     no domain set
00:00:00.017355 DCon01     no search string entries
00:00:00.017357 DCon01   HostDnsMonitor: new information
00:00:00.017360 DCon01     server 1: 127.0.0.53
00:00:00.017362 DCon01     domain: .
00:00:00.017364 DCon01     search string 1: .
00:00:00.018176 DCon01   VD: VDInit finished with VINF_SUCCESS
00:00:00.018229 DCon01   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={925084b0-625f-422f-a67d-0ede1880a56c} aComponent={SystemPropertiesWrap} aText={Cannot determine default Guest Additions ISO location. Most likely they are not available}, preserve=false aResultDetail=0
00:00:00.018614 DCon01   Platform architecture set to 'x86'
00:00:00.018880 DCon01   Loading settings file "/home/isaiah/VirtualBox VMs/Fucking WIndows/Fucking WIndows.vbox" with version "1.19-linux"
00:00:00.018947 DCon01   Platform architecture set to 'x86'
00:00:00.019209 DCon01   VirtualBox: object created
00:00:00.086713 DCon02   Saving settings file "/home/isaiah/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:00.090796 DCon02   Finished saving settings file "/home/isaiah/.config/VirtualBox/VirtualBox.xml"
00:00:00.330981 DCon05   Saving settings file "/home/isaiah/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:00.336919 DCon05   Finished saving settings file "/home/isaiah/.config/VirtualBox/VirtualBox.xml"
00:00:00.428752 DCon05   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
00:00:00.680266 DCon05   Saving settings file "/home/isaiah/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:00.694001 DCon05   Finished saving settings file "/home/isaiah/.config/VirtualBox/VirtualBox.xml"
00:00:04.374534 DCon05   Launched VM: 134236192 pid: 3447 (0xd77) frontend: GUI/Qt name: Fucking WIndows
00:00:04.398816 DCon05   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
00:00:04.595296 DCon06   Platform architecture set to 'x86'
00:00:04.634443 DCon09   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
